titulo,año,duracion,pais,valoracion,votos,direccion1,direccion2,direccion3,guion1,guion2,guion3,produccion1,produccion2,produccion3,genero1,genero2,genero3
The Godfather,1972,175,Estados Unidos,9.0,172259,Francis Ford Coppola,Francis Ford Coppola,,Francis Ford Coppola,Mario Puzo,Mario Puzo,,,,Drama,Mafia,Crimen
The Godfather Part II,1974,200,Estados Unidos,8.9,137277,Francis Ford Coppola,Francis Ford Coppola,,Francis Ford Coppola,Mario Puzo,Mario Puzo,,,,Drama,Mafia,Crimen
12 Angry Men,1957,95,Estados Unidos,8.7,68765,Sidney Lumet,Sidney Lumet,,Reginald Rose,Reginald Rose,,,,,Drama,Intriga,Drama judicial / Abogados/as
Schindler's List,1993,195,Estados Unidos,8.6,172907,Steven Spielberg,Steven Spielberg,,Steven Zaillian,Thomas Keneally,,,,,Drama,Nazismo,Holocausto
Witness for the Prosecution,1957,114,Estados Unidos,8.6,43707,Billy Wilder,Billy Wilder,,Billy Wilder,Harry Kurnitz,Agatha Christie,,,,Intriga,Drama,Drama judicial / Abogados/as
City Lights,1931,81,Estados Unidos,8.6,32156,Charles Chaplin,Charles Chaplin,,Charles Chaplin,,,,,,Comedia,Romance,Cine mudo
The Shawshank Redemption,1994,142,Estados Unidos,8.6,166906,Frank Darabont,Frank Darabont,,Frank Darabont,Stephen King,,,,,Drama,Drama carcelario,Amistad
The Great Dictator,1940,128,Estados Unidos,8.6,84923,Charles Chaplin,Charles Chaplin,,Charles Chaplin,,,,,,Comedia,Sátira,Nazismo
Pulp Fiction,1994,153,Estados Unidos,8.6,200304,Quentin Tarantino,Quentin Tarantino,,Quentin Tarantino,Roger Avary,,,,,Thriller,Crimen,Historias cruzadas
Modern Times,1936,89,Estados Unidos,8.6,62384,Charles Chaplin,Charles Chaplin,,Charles Chaplin,,,,,,Comedia,Sátira,Comedia dramática
The Sting,1973,129,Estados Unidos,8.5,99277,George Roy Hill,George Roy Hill,,David S. Ward,,,,,,Intriga,Comedia,Drama
Seppuku (Harakiri),1962,133,Japón,8.5,11892,Masaki Kobayashi,Masaki Kobayashi,,Shinobu Hashimoto,Yasuhiko Takiguchi,,,,,Drama,Siglo XVII,Japón feudal
To Be or Not to Be,1942,99,Estados Unidos,8.5,34686,Ernst Lubitsch,Ernst Lubitsch,,Edwin Justus Mayer,Melchior Lengyel,,,,,Comedia,Intriga,Sátira
Sunset Blvd. (Sunset Boulevard),1950,110,Estados Unidos,8.5,46111,Billy Wilder,Billy Wilder,,Charles Brackett,Billy Wilder,D.M. Marshman Jr.,,,,Cine negro,Drama,Cine dentro del cine
La vita è bella,1997,117,Italia,8.5,189794,Roberto Benigni,Roberto Benigni,,Roberto Benigni,Vincenzo Cerami,,,,,Comedia,Drama,Comedia dramática
All About Eve,1950,138,Estados Unidos,8.5,35020,Joseph L. Mankiewicz,Joseph L. Mankiewicz,,Joseph L. Mankiewicz,,,,,,Drama,Teatro,Película de culto
Paths of Glory,1957,86,Estados Unidos,8.4,55039,Stanley Kubrick,Stanley Kubrick,,Stanley Kubrick,Calder Willingham,Jim Thompson,,,,Bélico,Drama,I Guerra Mundial
Tengoku to Jigoku,1963,143,Japón,8.4,9201,Akira Kurosawa,Akira Kurosawa,,Hideo Oguni,Akira Kurosawa,Ryuzo Kikushima,,,,Cine negro,Thriller,Intriga
Sunrise: A Song of Two Humans,1927,94,Estados Unidos,8.4,14058,F.W. Murnau,F.W. Murnau,,Carl Mayer,,,,,,Drama,Romance,Drama romántico
Double Indemnity,1944,106,Estados Unidos,8.4,33105,Billy Wilder,Billy Wilder,,Raymond Chandler,Billy Wilder,James M. Cain,,,,Cine negro,Intriga,Thriller
Shichinin no Samurai (Seven Samurai),1954,205,Japón,8.4,41914,Akira Kurosawa,Akira Kurosawa,,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,,,,Aventuras,Drama,Japón feudal
The Apartment,1960,125,Estados Unidos,8.4,80207,Billy Wilder,Billy Wilder,,Billy Wilder,I.A.L. Diamond,,,,,Comedia,Romance,Drama
Cidade de Deus,2002,130,Brasil,8.4,125568,Fernando Meirelles,Fernando Meirelles,Kátia Lund,Braulio Mantovani,Paulo Lins,,,,,Drama,Basado en hechos reales,Adolescencia
The Kid,1921,68,Estados Unidos,8.4,32480,Charles Chaplin,Charles Chaplin,,Charles Chaplin,,,,,,Comedia,Drama,Pobreza
Le trou,1960,131,Francia,8.4,12515,Jacques Becker,Jacques Becker,,Jose Giovanni,Jacques Becker,Jean Aurel,,,,Drama,Drama carcelario,Basado en hechos reales
The Gold Rush,1925,95,Estados Unidos,8.4,27358,Charles Chaplin,Charles Chaplin,,Charles Chaplin,,,,,,Comedia,Drama,Aventuras
Psycho,1960,109,Estados Unidos,8.4,107496,Alfred Hitchcock,Alfred Hitchcock,,Joseph Stefano,Robert Bloch,,,,,Terror,Intriga,Thriller
Goodfellas,1990,148,Estados Unidos,8.4,111185,Martin Scorsese,Martin Scorsese,,Nicholas Pileggi,Martin Scorsese,Nicholas Pileggi,,,,Thriller,Drama,Mafia
Casablanca,1942,102,Estados Unidos,8.4,96646,Michael Curtiz,Michael Curtiz,,Julius J. Epstein,Philip G. Epstein,Howard Koch,,,,Drama,Romance,Drama romántico
Akahige,1965,180,Japón,8.3,4812,Akira Kurosawa,Akira Kurosawa,,Akira Kurosawa,Hideo Oguni,Ryuzo Kikushima,,,,Drama,Medicina,Siglo XIX
